Line No.,Order Code,RoHS Compliant?,Your Part No,Notes,Qty,Manufacturer Part Number,Manufacturer Name,Manufacturer / Description,Availability,Unit Price,Line Price,Discount Price
1,2426954,YES,,,10.0,"GRM155R70G105KA12D",MURATA,"MURATA  SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 1 µF, 4 V, ± 10%, X7R, GRM Series",Out of Stock,0.1340,1.34,,
2,1572610,YES,,,10.0,"C0402C224K9PACTU",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 0.22 µF, 6.3 V, ± 10%, X5R, C Series Kemet",8006,0.0748,0.75,,
3,2852352,YES,,,10.0,"C0402C104K4RECAUTO",KEMET,"KEMET  SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 0.1 µF, 16 V, ± 10%, X7R, C Series Kemet",7988,0.0695,0.70,,
4,2290355,YES,,,5.0,"KPA-1606EC",KINGBRIGHT,"KINGBRIGHT  LED, Side Look, Red, SMD, 20 mA, 2 V, 617 nm",Out of Stock,0.1070,0.54,,
5,2290360,YES,,,5.0,"KPA-1606CGCK",KINGBRIGHT,"KINGBRIGHT  LED, Side Look, Green, SMD, 20 mA, 2.1 V, 570 nm",13561,0.1010,0.51,,
6,1593412,YES,,,50.0,"2211S-03G",MULTICOMP,"MULTICOMP  Board-To-Board Connector, Vertical, 2.54 mm, 3 Contacts, Header, 2211S Series, Through Hole, 1 Rows",103846,0.0144,0.72,,
7,2498581,YES,,,25.0,"PMV65XPEA",NEXPERIA,"NEXPERIA  MOSFET Transistor, P Channel, -2.8 A, -20 V, 0.067 ohm, -4.5 V, -1 V",7324,0.1700,4.25,,
8,1653622,YES,,,15.0,"MMBT2222LT1G.",ON SEMICONDUCTOR,"ON SEMICONDUCTOR  Bipolar (BJT) Single Transistor, General Purpose, NPN, 30 V, 250 MHz, 225 mW, 600 mA, 250 hFE",4191 Available until stock is exhausted,0.0817,1.23,,
9,1864517,YES,,,15.0,"IRLML6244TRPBF",INFINEON,"INFINEON  MOSFET Transistor, N Channel, 6.3 A, 20 V, 21 mohm, 4.5 V, 0.9 V",59117,0.2590,3.89,,
10,2072575,Y-EX,,,10.0,"MCMR04X1200FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, Ceramic, 120 ohm, MCMR Series, 50 V, Thick Film, 0402 [1005 Metric], 62.5 mW",21710,0.0081,0.08,,
11,2447096,Y-EX,,,100.0,"MCWR04X1002FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, 10 kohm, MCWR Series, 50 V, Thick Film, 0402 [1005 Metric], 62.5 mW",10380,0.0024,0.24,,
12,2072515,Y-EX,,,10.0,"MCMR04X1000FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, Ceramic, 100 ohm, MCMR Series, 50 V, Thick Film, 0402 [1005 Metric], 62.5 mW",6678,0.0081,0.08,,
13,2447135,Y-EX,,,100.0,"MCWR04X2203FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, 220 kohm, MCWR Series, 50 V, Thick Film, 0402 [1005 Metric], 62.5 mW",10048,0.0024,0.24,,
14,2447159,Y-EX,,,10.0,"MCWR04X3300FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, 330 ohm, MCWR Series, 50 V, Thick Film, 0402 [1005 Metric], 62.5 mW",17370,0.0040,0.04,,
15,2059190,YES,,,20.0,"ERJ2GE0R00X",PANASONIC ELECTRONIC COMPONENTS,"PANASONIC ELECTRONIC COMPONENTS  SMD Chip Resistor, 0 ohm, ERJ2G Series, 50 V, Thick Film, 0402 [1005 Metric], 100 mW",337069,0.0159,0.32,,
16,2302479,YES,,,10.0,"ERJ2RKF39R0X",PANASONIC ELECTRONIC COMPONENTS,"PANASONIC ELECTRONIC COMPONENTS  SMD Chip Resistor, 39 ohm, ERJ2R Series, 50 V, Thick Film, 0402 [1005 Metric], 100 mW",11497,0.0216,0.22,,
17,1652785,YES,,,10.0,"CRCW040233R0FKED",VISHAY,"VISHAY  SMD Chip Resistor, 33 ohm, CRCW Series, 50 V, Thick Film, 0402 [1005 Metric], 63 mW",7498,0.0260,0.26,,
18,2072516,Y-EX,,,30.0,"MCMR04X1001FTL",MULTICOMP,"MULTICOMP  SMD Chip Resistor, Ceramic, 1 kohm, MCMR Series, 50 V, Thick Film, 0402 [1005 Metric], 63 mW",Out of Stock,0.0081,0.24,,
19,2251364,YES,,,5.0,"TSOP38438",VISHAY,"VISHAY  Infrared Receiver, Remote Control, 38 kHz, 45m, 45 °, 5.5 V, 2.5 V, -25 °C",733,0.5720,2.86,,
20,2492300,YES,,,3.0,"LP3985IM5-2.7/NOPB",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Fixed LDO Voltage Regulator, 2.5V to 6V, 60mV Dropout, 2.7Vout, 150mAout, SOT-23-5",834,0.5020,1.51,,
21,2400948,YES,,,3.0,"C8051F850-C-GU",SILICON LABS,"SILICON LABS  8 Bit Microcontroller, High Speed CIP-51, C8051 Family C8051F85x Series Microcontrollers, 25 MHz",370,0.8230,2.47,,

,,,,,,,Sub Total,22.46
,,,,,,,Goods Total,22.46
,,,,,,,Delivery,0.00
,,,,,,,VAT,Unknown
,,,,,,,Total,22.46
